x1, x2, x3, x4
0.01411,0.12445,1.04539,0.04318
-0.17200,1.01532,0.05276,-0.18680
1.03277,-0.00024,0.03330,-0.02765
0.06603,0.77159,-0.26459,0.05418
0.98548,0.06333,-0.03382,-0.09569
0.01726,0.94661,0.26153,-0.04448
-0.25434,0.04260,0.92979,0.01434
0.63030,0.25405,-0.18694,-0.02890
-0.04327,-0.03211,1.05552,-0.08026
0.06591,1.17560,-0.19946,0.24149
-0.13023,-0.25808,0.27995,0.89180
-0.04003,0.02105,0.87124,-0.16386
0.02890,-0.14309,-0.06208,0.97980
-0.09008,0.00597,0.90616,0.25209
-0.18444,0.84633,-0.06294,-0.12699
-0.00617,0.90074,0.09284,0.18079
-0.12800,-0.14239,0.00548,1.10265
0.04698,1.30123,0.11229,-0.09203
-0.03299,1.17739,0.16471,-0.35053
0.12754,1.01138,-0.15839,-0.33266
0.07496,0.19921,-0.04682,0.98741
0.91189,0.26274,0.04624,-0.13414
0.11955,1.07773,-0.19092,-0.07332
0.12458,0.85410,0.10350,-0.33094
0.92160,0.22787,0.01403,0.24928
-0.06205,0.75504,-0.05132,-0.01805
-0.26571,-0.10509,1.00113,0.10397
-0.01851,0.08330,0.86383,-0.02521
0.19718,1.07483,-0.09118,0.14843
1.00935,0.07200,0.05694,-0.22684
-0.16832,0.01380,1.13327,0.21454
-0.04494,-0.04337,1.15616,0.13735
1.29036,0.17198,0.12507,-0.11622
-0.06578,0.91200,-0.35065,-0.15708
-0.11806,0.00674,0.98315,-0.24051
0.36816,-0.16499,0.22636,0.72726
1.02951,0.00625,-0.03373,0.06487
-0.27034,-0.09056,0.95049,0.23995
-0.08706,0.87943,-0.06016,0.00798
1.00009,0.21279,-0.02232,-0.09094
0.15331,1.09962,0.17252,0.03931
0.07631,-0.03971,0.22618,1.01633
0.18936,0.89230,-0.07810,-0.10247
-0.03205,0.81746,-0.04963,-0.14402
0.10950,0.87882,0.05891,0.01821
0.11206,1.04049,-0.02917,0.07829
0.05563,0.02745,0.81829,0.03586
1.16001,-0.00114,0.02104,-0.14023
0.00086,1.03878,0.04104,-0.09691
0.06162,0.36690,0.06367,1.22710
0.92191,-0.08551,-0.05990,0.13745
0.20799,1.04825,-0.18503,0.05180
0.84172,0.13312,0.20484,0.11576
