Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Ast/90,npG/90,npG+A/90,xA/90,npxG/90,npxG+xA/90,Shots/90,SoTs/90,SoT%,Gls/Shot,Gls/SoT,AvgShotDist,FKSht/90,npxG/Shot,np:G-xG,PassCmp/90,PassAtt/90,PassCmp%,TotDistPass/90,PrgDistPass/90,ShortCmp/90,ShortAtt/90,ShortCmp%,MedCmp/90,MedAtt/90,MedCmp%,LongCmp/90,LongAtt/90,LongCmp%,KeyPass/90,PassIntoThird/90,PassIntoBox/90,CrossIntoBox/90,ProgPass/90,LivePassAtt/90,DeadPassAtt/90,FKPassAtt/90,TBCmp/90,PassUnderPress/90,Switches/90,Crosses/90,GroundPass/90,LowPass/90,HighPass/90,LeftPass/90,RightPass/90,HeadPass/90,ThrowPass/90,OtherPartPass/90,OffsidePass/90,OutOBPass/90,PassesInt/90,PassesBlk/90,SCA/90,PassLiveSCA/90,PassDeadSCA/90,DribSCA/90,ShSCA/90,FoulSCA/90,DefSCA/90,GCA/90,PassLiveGCA/90,PassDeadGCA/90,DribGCA/90,ShGCA/90,FoulGCA/90,DefGCA/90,TklAtt/90,TklW/90,Def 3rdTkl/90,Mid 3rdTkl/90,Att 3rdTkl/90,TklvDribW/90,TklvDribAtt/90,Tkl%vDrib,DribPast/90,PressAtt/90,SuccPress/90,PressSucc%,Def 3rdPress/90,Mid 3rdPress/90,Att 3rdPress/90,Blocks/90,ShotBlocks/90,PassBlk/90,Interceptions/90,Clearances/90,ErrToShot/90,Touches/90,Def PenTchs/90,Def 3rdTchs/90,Mid 3rdTchs/90,Att 3rdTchs/90,Att PenTchs/90,%TchsDefPen,%TchsDefThrd,%TchsMidThrd,%TchsAttThrd,%TchsAttPen,LiveTchs/90,SuccDrib/90,AttDrib/90,DribSucc%,PlayersDribPast/90,Megs/90,Carries/90,TotDistCarry/90,PrgDistCarry/90,ProgCarry/90,CarryIntoThird/90,CarryIntoBox/90,Miscontrol/90,Dispossessed/90,PassTarget/90,PassesReceived/90,PassRec%,ProgPassReceived/90
Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29.0,1990.0,22,20,1777,19.7,0.05,0.0,0.05,0.04,0.06,0.1,0.91,0.3,33.3,0.0,0.0,20.3,0.15,0.07,-0.06,45.1,57.2,78.9,756.6,352.5,23.0,26.0,88.7,17.3,21.2,81.3,3.96,7.66,51.7,0.56,3.45,1.32,0.2,5.69,47.3,9.9,1.83,0.1,5.69,1.02,1.73,36.4,11.1,9.7,37.7,9.85,1.27,7.97,0.15,0.61,1.12,1.47,1.73,1.32,1.12,0.15,0.05,0.0,0.0,0.0,0.15,0.1,0.05,0.0,0.0,0.0,0.0,1.68,0.96,1.07,0.56,0.05,0.76,2.13,35.7,1.37,10.5,3.5,33.5,6.6,2.84,1.02,1.57,0.36,1.22,1.73,2.03,0.05,67.2,3.65,20.6,32.6,17.5,1.93,0.05431547619,0.306547619,0.4851190476,0.2604166667,0.0287202381,57.2,0.46,1.07,42.9,0.46,0.0,37.2,178.8,96.8,5.79,1.52,0.46,0.66,0.81,42.3,39.3,92.8,2.34
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32.0,1987.0,33,33,2889,32.1,0.0,0.09,0.09,0.01,0.05,0.06,0.47,0.16,33.3,0.2,0.6,10.2,0.0,0.11,0.04,46.9,53.4,87.8,1049.7,361.9,10.5,11.7,89.1,27.8,29.6,93.9,8.32,11.4,73.0,0.12,2.52,0.03,0.0,2.83,51.6,1.84,1.84,0.0,5.23,1.21,0.0,42.5,3.86,7.04,35.4,14.8,1.78,0.0,0.09,0.12,0.81,0.75,0.4,0.34,0.31,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,1.43,1.59,0.62,0.03,0.5,1.18,42.1,0.69,11.8,4.55,38.5,7.85,3.43,0.53,1.59,0.62,0.97,1.74,5.3,0.0,65.0,8.69,37.5,30.7,1.28,0.65,0.1336923077,0.5769230769,0.4723076923,0.01969230769,0.01,63.2,0.37,0.62,60.0,0.4,0.03,41.7,235.5,130.5,1.81,0.25,0.03,0.25,0.47,43.8,42.5,97.0,0.22
Pape Abou Cisse,sn SEN,DF,Saint-Étienne,fr Ligue 1,24.0,1995.0,14,14,1260,14.0,0.0,0.0,0.0,0.0,0.08,0.09,0.93,0.21,23.1,0.0,0.0,11.3,0.0,0.09,-0.09,36.1,44.6,80.9,870.6,313.6,8.93,9.57,93.3,17.3,19.6,88.3,9.43,14.6,64.4,0.21,2.14,0.14,0.0,2.21,42.7,1.86,1.71,0.0,4.79,3.07,0.07,30.3,3.64,10.6,13.6,27.6,2.14,0.14,0.0,0.0,1.07,0.36,0.21,0.5,0.29,0.0,0.0,0.14,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.79,1.14,0.43,0.0,0.64,1.21,52.9,0.57,7.64,3.21,42.1,5.21,2.07,0.36,1.14,0.36,0.79,2.29,10.1,0.14,61.1,10.1,37.0,26.4,1.79,1.14,0.1653027823,0.6055646481,0.4320785597,0.02929623568,0.01865793781,59.3,0.36,0.43,83.3,0.36,0.0,32.6,215.2,117.9,1.14,0.07,0.0,0.14,0.07,33.7,32.9,97.7,0.0
David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34.0,1986.0,14,14,1222,13.6,0.0,0.07,0.07,0.03,0.05,0.08,0.66,0.15,22.2,0.11,0.5,16.0,0.0,0.07,0.02,41.5,50.7,81.9,888.0,312.8,13.0,15.0,86.8,20.4,22.8,89.4,7.79,11.8,65.8,0.15,3.68,0.22,0.15,3.16,46.5,4.19,1.25,0.07,5.51,1.69,0.59,31.8,6.84,12.0,5.0,36.8,3.97,2.94,0.07,0.22,0.51,0.37,0.74,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.96,0.74,0.37,0.15,0.59,1.47,40.0,0.88,10.6,4.71,44.4,5.96,3.46,1.18,1.91,0.37,1.54,1.1,2.43,0.0,58.3,4.04,23.7,31.0,7.35,0.59,0.06929674099,0.4065180103,0.5317324185,0.1260720412,0.01012006861,54.3,0.22,0.44,50.0,0.29,0.0,32.0,169.9,92.7,3.24,0.66,0.0,0.22,0.0,34.8,33.4,96.0,0.59
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32.0,1988.0,32,32,2813,31.3,0.03,0.0,0.03,0.03,0.03,0.06,0.26,0.0,0.0,0.0,,13.1,0.0,0.12,-0.03,57.6,65.0,88.6,1234.2,333.6,17.8,19.3,92.2,27.7,29.3,94.4,11.0,14.6,75.4,0.38,3.67,0.64,0.29,3.16,61.6,3.45,1.73,0.03,5.85,2.33,0.83,46.9,6.65,11.5,49.1,10.8,2.94,0.77,0.16,0.13,0.86,0.48,0.48,1.02,0.86,0.03,0.0,0.06,0.0,0.06,0.13,0.13,0.0,0.0,0.0,0.0,0.0,1.73,1.21,1.12,0.51,0.1,0.35,1.18,29.7,0.83,11.2,4.66,41.8,6.39,3.8,0.96,1.63,0.61,1.02,1.98,5.02,0.03,76.1,11.1,39.3,37.4,6.23,0.61,0.1458607096,0.5164257556,0.4914586071,0.08186596583,0.008015768725,72.8,0.35,0.38,91.7,0.35,0.0,46.3,313.3,166.3,3.71,1.02,0.03,0.45,0.26,50.9,49.5,97.3,0.7
Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28.0,1991.0,30,26,2330,25.9,0.08,0.04,0.12,0.11,0.04,0.15,0.69,0.12,16.7,0.06,0.33,20.7,0.0,0.06,0.0,55.1,68.4,80.5,1084.2,440.7,21.5,23.6,91.2,25.3,29.0,87.5,7.57,13.9,54.6,1.27,4.25,1.39,0.69,4.71,57.6,10.8,1.7,0.08,6.83,2.59,3.13,40.4,11.5,16.5,49.9,8.19,1.51,8.19,0.08,0.12,1.16,1.39,1.85,2.24,1.51,0.42,0.19,0.08,0.0,0.04,0.15,0.08,0.04,0.0,0.04,0.0,0.0,2.78,1.81,1.51,0.89,0.39,0.89,1.51,59.0,0.62,13.3,4.52,33.9,5.91,5.1,2.32,1.51,0.12,1.39,0.97,1.31,0.0,78.3,2.82,27.2,35.3,20.3,1.2,0.03601532567,0.3473818646,0.4508301405,0.2592592593,0.0153256705,68.0,1.58,2.32,68.3,1.66,0.19,50.5,228.1,146.4,5.14,1.31,0.31,1.27,1.27,55.5,52.4,94.4,2.16
Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22.0,1997.0,33,33,2953,32.8,0.0,0.0,0.0,0.01,0.03,0.04,0.61,0.15,25.0,0.0,0.0,8.8,0.0,0.05,-0.03,48.6,55.6,87.4,1138.3,363.7,9.27,10.4,89.4,28.5,30.0,94.8,10.5,14.3,73.6,0.15,2.07,0.15,0.03,2.23,54.1,1.49,1.28,0.06,5.3,1.49,0.09,43.0,3.9,8.75,7.56,44.0,2.47,0.21,0.09,0.09,0.98,0.64,0.49,0.52,0.49,0.0,0.0,0.03,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,1.25,0.79,0.95,0.27,0.03,0.61,1.16,52.6,0.55,5.55,1.8,32.4,3.51,1.83,0.21,1.16,0.7,0.46,1.68,7.35,0.03,67.7,14.1,40.8,28.0,2.23,1.04,0.2082717873,0.6026587888,0.4135893648,0.0329394387,0.01536189069,66.2,0.24,0.34,72.7,0.27,0.0,40.4,188.2,105.3,1.52,0.18,0.0,0.15,0.24,46.7,45.5,97.4,0.15
Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,20.0,1999.0,15,8,701,7.8,0.0,0.13,0.13,0.05,0.07,0.13,0.51,0.13,25.0,0.25,1.0,19.7,0.0,0.14,0.05,26.9,37.1,72.7,436.3,146.5,15.0,17.4,86.0,9.49,12.9,73.3,1.79,4.49,40.0,0.38,1.15,0.51,0.38,1.28,28.6,8.46,0.13,0.0,5.9,0.64,1.28,21.4,7.44,8.21,6.03,20.4,1.79,8.33,0.0,0.0,0.64,2.05,1.41,0.77,0.51,0.0,0.13,0.0,0.13,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,3.46,2.05,1.54,1.41,0.51,1.67,3.08,54.2,1.41,23.1,6.15,26.7,11.0,8.08,3.97,2.05,0.38,1.67,2.69,2.95,0.0,54.1,2.56,21.0,23.1,11.8,1.03,0.04731977819,0.3881700555,0.426987061,0.2181146026,0.01903881701,45.9,0.51,1.54,33.3,0.51,0.0,27.2,110.5,63.1,1.92,0.64,0.0,1.54,1.54,31.9,24.7,77.5,2.95
Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24.0,1996.0,35,35,3147,35.0,0.03,0.09,0.11,0.03,0.08,0.11,0.83,0.17,20.7,0.1,0.5,8.8,0.0,0.1,0.0,69.4,75.9,91.4,1428.3,515.8,23.6,24.6,95.7,33.5,35.1,95.6,11.5,15.3,75.5,0.11,3.91,0.0,0.0,3.89,73.9,2.06,2.03,0.03,4.83,2.03,0.03,64.5,4.17,7.26,64.7,7.6,1.97,0.03,0.14,0.03,0.63,0.43,0.26,0.4,0.34,0.0,0.0,0.06,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,1.57,1.06,1.17,0.4,0.0,0.54,1.03,52.8,0.49,7.71,3.0,38.9,4.54,2.89,0.29,1.23,0.69,0.54,1.11,5.17,0.03,86.3,8.6,38.5,50.7,1.86,1.06,0.09965237543,0.4461181924,0.5874855156,0.02155272306,0.01228273465,84.3,0.23,0.31,72.7,0.26,0.0,58.9,271.3,154.0,3.43,0.31,0.0,0.11,0.29,65.7,64.7,98.6,0.17
Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24.0,1995.0,25,14,1289,14.3,0.0,0.0,0.0,0.04,0.06,0.1,0.63,0.0,0.0,0.0,,14.6,0.0,0.09,-0.06,36.2,43.8,82.6,810.0,245.8,8.25,9.09,90.8,21.0,23.4,89.6,6.78,10.2,66.4,0.14,2.52,0.14,0.0,2.73,42.7,1.19,1.12,0.14,6.64,0.63,0.07,32.4,4.13,7.27,6.99,32.7,2.45,0.07,0.28,0.35,1.26,0.7,0.84,0.7,0.49,0.0,0.07,0.14,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,1.96,1.19,1.54,0.35,0.07,0.77,1.47,52.4,0.7,12.0,3.85,32.2,7.62,4.27,0.07,1.4,0.28,1.12,1.12,7.76,0.14,57.0,9.02,35.7,22.9,1.4,0.77,0.158245614,0.6263157895,0.401754386,0.02456140351,0.01350877193,55.9,0.35,0.42,83.3,0.42,0.07,33.0,200.5,105.9,2.31,0.21,0.07,0.28,0.35,32.4,32.2,99.1,0.07
