Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,PrgC,PrgP,PrgR,Per90Minutes_Gls,Per90Minutes_Ast,Per90Minutes_G+A,Per90Minutes_G-PK,Per90Minutes_G+A-PK,Per90Minutes_xG,Per90Minutes_xAG,Per90Minutes_xG+xAG,Per90Minutes_npxG,Per90Minutes_npxG+xAG 
1,Princess Ademiluyi,eng ENG,"MF,FW",West Ham,17,2006,11,0,87,1,0,1,1,0,0,0,0,0,0,0,0,0,2,2,11,0,1.03,1.03,0,1.03,0.03,0,0.03,0.03,0.03 
2,Michelle Agyemang,eng ENG,FW,Arsenal,17,2006,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
3,Alyssa Aherne,eng ENG,MF,Everton,19,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
4,Olga Ahtinen,fi FIN,MF,Tottenham,,,16,10,923,10.3,1,2,3,1,0,0,4,0,0.4,0.4,1.2,1.6,11,71,12,0.1,0.2,0.29,0.1,0.29,0.04,0.12,0.15,0.04,0.15 
5,Asmita Ale,eng ENG,DF,Leicester City,21,2001,6,4,296,3.3,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,3,13,5,0,0,0,0,0,0.06,0,0.06,0.06,0.06 
6,Asmita Ale,eng ENG,"MF,DF",Tottenham,21,2001,5,1,131,1.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,3,8,8,0,0,0,0,0,0,0.1,0.1,0,0.1 
7,Laia Aleixandri,es ESP,DF,Manchester City,22,2000,21,21,"1,810",20.1,1,3,4,1,0,0,3,1,1.1,0.9,1.4,2.3,27,148,16,0.05,0.15,0.2,0.05,0.2,0.06,0.07,0.12,0.04,0.11 
8,Filippa Angeldahl,se SWE,MF,Manchester City,26,1997,13,8,666,7.4,0,0,0,0,0,0,2,0,1.3,1.3,0.8,2.1,8,55,57,0,0,0,0,0,0.18,0.1,0.28,0.18,0.28 
9,Mackenzie Arnold,au AUS,GK,West Ham,29,1994,19,19,"1,710",19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0 
10,Brooke Aspin,eng ENG,DF,Bristol City,18,2005,17,16,"1,368",15.2,2,0,2,2,0,0,3,0,0.7,0.7,0,0.8,0,18,1,0.13,0,0.13,0.13,0.13,0.05,0,0.05,0.05,0.05 
11,Viviane Asseyi,fr FRA,"FW,MF",West Ham,29,1993,22,22,"1,902",21.1,6,1,7,3,3,3,4,0,8.3,5.9,0.9,6.8,40,53,121,0.28,0.05,0.33,0.14,0.19,0.39,0.04,0.43,0.28,0.32 
12,Izzy Atkinson,ie IRL,"MF,FW",West Ham,22,2001,7,1,172,1.9,0,0,0,0,0,0,1,0,0.3,0.3,0,0.3,7,5,17,0,0,0,0,0,0.16,0,0.16,0.16,0.16 
13,Rosella Ayane,ma MAR,"FW,MF",Tottenham,27,1996,10,0,211,2.3,0,0,0,0,0,0,0,0,0.6,0.6,0.5,1.1,6,4,22,0,0,0,0,0,0.24,0.2,0.45,0.24,0.45 
14,Sophie Baggaley,eng ENG,GK,Brighton,26,1996,19,19,"1,710",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
15,Ava Baker,eng ENG,"MF,FW",Leicester City,17,2006,8,0,99,1.1,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,0,2,13,0,0,0,0,0,0.34,0.09,0.42,0.34,0.42 
